title,location,type,area,bedrooms,bathrooms,yearBuilt,amenities,price
Premium Townhouse in Chennai,"Chennai, TN",Townhouse,4757,3,2,1999,"Parking,Gym",1568362
Premium Villa in Pune,"Pune, MH",Villa,3262,5,4,2013,Gym,2082319
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,2625,3,3,2005,"Parking,WiFi,Gym,Security,Pool",2037699
Premium Villa in Kolkata,"Kolkata, WB",Villa,1056,2,3,2013,"Pool,Gym,Garden",767913
Premium Condo in Mumbai,"Mumbai, MH",Condo,1145,6,2,2015,Parking,1409376
Premium Townhouse in Bangalore,"Bangalore, KA",Townhouse,4777,4,4,1982,"Garden,Gym,Parking",2572747
Premium Villa in Mumbai,"Mumbai, MH",Villa,3168,3,3,1994,"Gym,WiFi,Garden,Security",3718399
Premium Apartment in Kolkata,"Kolkata, WB",Apartment,4047,5,3,1989,Garden,1379587
Premium Condo in Kolkata,"Kolkata, WB",Condo,628,6,2,1990,"Parking,Garden,Security,Gym",519264
Premium Penthouse in Delhi,"Delhi, DL",Penthouse,1727,6,4,2010,"Security,Parking,WiFi,Gym",2957371
Premium Villa in Chennai,"Chennai, TN",Villa,3392,2,1,2022,Security,1597222
Premium Condo in Pune,"Pune, MH",Condo,3497,4,2,1991,"Garden,Pool,Parking,Gym",1161661
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,1554,3,3,1988,"Gym,WiFi,Parking",2836928
Premium Penthouse in Chennai,"Chennai, TN",Penthouse,2451,4,2,1986,"Gym,WiFi",1932479
Premium Condo in Bangalore,"Bangalore, KA",Condo,4207,1,4,2008,"Gym,Pool,Security,Parking",2215073
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,4134,6,4,1993,"Garden,Pool,Security,Parking,Gym",1475475
Premium Condo in Hyderabad,"Hyderabad, TS",Condo,4730,5,3,2007,"Security,Pool,WiFi,Gym",1697742
Premium Condo in Delhi,"Delhi, DL",Condo,3822,4,3,2022,"Garden,Gym,Pool,WiFi,Parking",2464350
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,2759,1,1,2023,"Garden,Security,Pool,WiFi,Gym",1289437
Premium Apartment in Bangalore,"Bangalore, KA",Apartment,1693,5,3,2024,"Garden,Security,Gym,WiFi,Pool",1305566
Premium Condo in Bangalore,"Bangalore, KA",Condo,4432,6,3,1992,"Parking,WiFi,Gym,Pool,Garden",2312533
Premium Apartment in Delhi,"Delhi, DL",Apartment,3560,1,2,2016,"WiFi,Parking",1912322
Premium Condo in Mumbai,"Mumbai, MH",Condo,4614,2,2,2018,"Gym,WiFi",2910547
Premium Villa in Hyderabad,"Hyderabad, TS",Villa,1824,6,4,1982,"Pool,Security,WiFi",1331683
Premium Villa in Pune,"Pune, MH",Villa,3867,4,1,2017,"Parking,WiFi",2136728
Premium Penthouse in Mumbai,"Mumbai, MH",Penthouse,4460,1,3,2016,WiFi,5461095
